(amuse bouche#positive)(dessert#positive)(tables#positive)(service#positive),(service#positive),they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.
(crunchy tuna#positive),(food#positive),"Try the crunchy tuna, it is to die for."
(food#negative),(food#negative)(price#conflict),It won't break the bank but I also wouldnt come back for the food.
(sushi#positive),(anecdotes/miscellaneous#positive),"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city."
,(anecdotes/miscellaneous#negative),I've been to Joya twice and I will never go again.
,(anecdotes/miscellaneous#negative),So rushing us out was absolutely unnecessary!
,(anecdotes/miscellaneous#neutral),However it is the ONLY Taiwanese restaurant in town.
(live entertainment#positive)(special effects#positive),(ambience#positive),It is a lot of fun with live entertainment and all kinds of Disney type special effects.
(sushi#positive)(sushi#positive),(food#positive),"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side)."
(fountain drinks#negative),(food#negative),"No refills on fountain drinks, though."
(beers#positive),(food#positive),Wow over 100 beers to choose from.
(portions#positive),(food#positive),Be careful of portions - they're HUGE.
(Steak Tartare#positive),(food#positive),"The Steak Tartare is a great bet, they fix it for you at the table."
(Crab Croquette apt#negative),(service#positive)(food#negative),My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.
(waiter#positive),(service#positive)(anecdotes/miscellaneous#positive),Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.
(wine#neutral),(food#neutral),Did I mention the wine?
(house wine#positive),(food#positive),"Plus, on Wednesday nights the house wine is unlimited!"
,(anecdotes/miscellaneous#positive),It is by far my favorite restaurant in Brooklyn.
,(ambience#negative),Now it's so crowded and loud you can't even talk to the person next to you.
,(anecdotes/miscellaneous#positive),Love Pizza 33..
,(food#positive),Even my Indian friend couldn't believe how good and tasty everything was.
,(anecdotes/miscellaneous#positive),"I'm from England, and Haru's was the best I had in NYC."
,(anecdotes/miscellaneous#positive),Less = More in their case.
,(anecdotes/miscellaneous#negative),Ruby Foo's is a tourist trap.
,(anecdotes/miscellaneous#negative),I've been here a couple of times and have not been impressed.
,(anecdotes/miscellaneous#positive),I've been many time and have never been disappointed.
,(anecdotes/miscellaneous#neutral),Ciao Bella
(bread#negative),(food#negative)(service#negative),like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.
(dim sum servings#neutral),(food#neutral),The dim sum servings here are a bit larger than I'm used to.
(management#neutral)(door#positive)(glass front#negative),(service#neutral)(ambience#negative),"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
(meal#negative),(food#negative),We won't go to this place again for a good meal.
,(ambience#neutral),It's a much more grown up restaurant compared to the rest of the street.
(Barbecued codfish#positive)(seasoning#negative)(texture#conflict)(spice rub#negative)(herb mix#negative)(sauce#negative),(food#conflict),"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
,(service#negative),We were treated with attitude ever since the moment we stepped into the restaurant!
(dance floor#positive)(dinner#neutral),(ambience#positive),"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
(value#positive)(food#positive),(food#positive)(price#positive),Taj Mahal offeres gret value and great food.
(chef#neutral)(owner#neutral),(service#neutral),Has the chef and owner changed???
(dinner#positive),(anecdotes/miscellaneous#positive),My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.
,(anecdotes/miscellaneous#positive),I absolutely Loved this place.
,(anecdotes/miscellaneous#positive),I wish I lived there as I would eat at this place as often as possible!
(bacon#negative)(platter#negative)(in sandwiches#negative)(frying#negative)(bacos#negative),(food#negative),"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
(Bagels#positive),(food#positive)(price#negative),"Outstanding Bagels, but you get what you pay for."
(Pizza#positive)(crust#positive)(pizza#positive)(toppings#neutral)(bread#positive),(food#positive),"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
,(anecdotes/miscellaneous#negative),"If you're in town, it's worth searching for another place."
,(anecdotes/miscellaneous#positive),I have tried the various slice joints around the village but this is by far the best one.
(spot#positive),(ambience#positive),"I found it on a cold night, the perfect spot to warm up."
(menu#negative)(American Chinese food#negative),(food#negative),They even have a section in the menu called American Chinese food!
(Service#positive)(beef carpaachio#positive)(pasta#positive)(portion#positive),(food#positive)(service#positive),"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
(kalbi#neutral)(nebbiolo#neutral),(food#neutral),kalbi and nebbiolo do work together.
(Italian food#positive),(food#positive),"Best Italian food I ever had (and being Italian, that means alot)."
(Italian food#positive),(food#positive),I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.
(Located#positive),(ambience#positive),Located at the end of a magnificent block.
,(price#negative)(anecdotes/miscellaneous#negative),"This restaurant is not worth the time, effort, or money to say the least."
(meal#positive)(room#neutral)(clubhouse#negative),(ambience#positive)(food#positive),"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
,(anecdotes/miscellaneous#positive),Keep up the good work guys!
,(anecdotes/miscellaneous#positive),Hurley's is terrific!
(trays of Dim Sum#neutral),(ambience#positive),They don't walk around with the trays of Dim Sum.
,(anecdotes/miscellaneous#neutral),Took my sister here before attending a show one evening.
(bar#positive)(bartenders#positive),(service#positive),"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady)."
(dessert#neutral)(waitress#negative)(bill#neutral),(service#negative),We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.
,(anecdotes/miscellaneous#neutral),Really.
(cheff#positive)(food#positive),(food#positive),I really loved the different and inovated touch that's the cheff gives to the food.
,(anecdotes/miscellaneous#neutral),Our friends have not arrived yet.
(cheese#negative),(food#negative),They came out over cooked and the cheese was almost non existant.
(meal#positive)(server#positive)(wine#positive)(wine#negative)(price range#positive)(priced#neutral),(food#positive)(service#positive),"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
